"","hostelName","hostelLink","minPrice","location"
"105","Oakhostel Sakura","https://www.hostelworld.com/hosteldetails.php/Oakhostel-Sakura/Tokyo/278014","CA$21.56","             11.3km from city centre          "
"106","TOKYO-W-INN Asakusa","https://www.hostelworld.com/hosteldetails.php/TOKYO-W-INN-Asakusa/Tokyo/281822","CA$21.68","             9.3km from city centre          "
"107","bnb+ Ikebana Okina Yotsuya","https://www.hostelworld.com/hosteldetails.php/bnb-Ikebana-Okina-Yotsuya/Tokyo/282675","CA$11979.64","             2.6km from city centre          "
"108","Guesthouse Sensu","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Sensu/Tokyo/275113","CA$39.53","             15.7km from city centre          "
"109","Centurion Ladies Hostel Uenopark (Female only)","https://www.hostelworld.com/hosteldetails.php/Centurion-Ladies-Hostel-Uenopark-Female-only/Tokyo/274804","CA$29.95","             7.4km from city centre          "
"110","Koenji Junjo Hotel","https://www.hostelworld.com/hosteldetails.php/Koenji-Junjo-Hotel/Tokyo/285896","CA$35.94","             3.9km from city centre          "
"111","Juyoh Hotel","https://www.hostelworld.com/hosteldetails.php/Juyoh-Hotel/Tokyo/76168","CA$34.74","             10.7km from city centre          "
"112","Ryoma Ikebukuro I","https://www.hostelworld.com/hosteldetails.php/Ryoma-Ikebukuro-I/Tokyo/286220","CA$45.52","             5.5km from city centre          "
"113","Asakusa Ryokan Toukaisou","https://www.hostelworld.com/hosteldetails.php/Asakusa-Ryokan-Toukaisou/Tokyo/11157","CA$43.13","             9.3km from city centre          "
"114","Shimokita Hostel","https://www.hostelworld.com/hosteldetails.php/Shimokita-Hostel/Tokyo/286830","CA$47.92","             4km from city centre          "
"115","Lyuro Tokyo Kiyosumi -The Share Hotels-","https://www.hostelworld.com/hosteldetails.php/Lyuro-Tokyo-Kiyosumi-The-Share-Hotels-/Tokyo/277072","CA$41.93","             9.1km from city centre          "
"116","Senju Tamuraya","https://www.hostelworld.com/hosteldetails.php/Senju-Tamuraya/Tokyo/290603","CA$39.53","             11km from city centre          "
"117","Sukeroku-no-Yado Sadachiyo","https://www.hostelworld.com/hosteldetails.php/Sukeroku-no-Yado-Sadachiyo/Tokyo/29483","CA$98.23","             9.6km from city centre          "
"118","&And Hostel-Asakusa North-","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Asakusa-North-/Tokyo/276202","CA$17.97","             10.5km from city centre          "
