"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"72","The Wardrobe Hostel Record","https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Record/Tokyo/294517",8.2,"CA$29.93","7.6km from city centre  - Show on Map"
"73","YADOYA Guesthouse Green","https://www.hostelworld.com/hosteldetails.php/YADOYA-Guesthouse-Green/Tokyo/48451",8,"CA$27.54","2.6km from city centre  - Show on Map"
"74","Guest House Shinagawa-shuku Tokyo","https://www.hostelworld.com/hosteldetails.php/Guest-House-Shinagawa-shuku-Tokyo/Tokyo/38400",9.3,"CA$39.46","8.7km from city centre  - Show on Map"
"75","Ikidane House","https://www.hostelworld.com/hosteldetails.php/Ikidane-House/Tokyo/274006",8.6,"CA$23.95","8.2km from city centre  - Show on Map"
"76","Tadaima Japan Shinjuku Ryokan","https://www.hostelworld.com/hosteldetails.php/Tadaima-Japan-Shinjuku-Ryokan/Tokyo/284493",8.5,"CA$77.59","2.8km from city centre  - Show on Map"
"77","1night1980hostel Tokyo","https://www.hostelworld.com/hosteldetails.php/1night1980hostel-Tokyo/Tokyo/86643",8.1,"CA$25.62","9.4km from city centre  - Show on Map"
"78","&And Hostel Kanda","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Kanda/Tokyo/289744",7,"CA$21.55","7.7km from city centre  - Show on Map"
"79","Ikidane House Asakusa Hatago","https://www.hostelworld.com/hosteldetails.php/Ikidane-House-Asakusa-Hatago/Tokyo/285893",9.4,"CA$30.17","10km from city centre  - Show on Map"
"80","Jimbocho Sakura Hotel","https://www.hostelworld.com/hosteldetails.php/Jimbocho-Sakura-Hotel/Tokyo/4662",8.3,"CA$25.74","5.9km from city centre  - Show on Map"
"81","Asakusa Hostel Toukaisou","https://www.hostelworld.com/hosteldetails.php/Asakusa-Hostel-Toukaisou/Tokyo/15493",8.7,"CA$14.97","9.3km from city centre  - Show on Map"
"82","Tokyo Sumidagawa Youth Hostel","https://www.hostelworld.com/hosteldetails.php/Tokyo-Sumidagawa-Youth-Hostel/Tokyo/56097",9.4,"CA$29.93","8.9km from city centre  - Show on Map"
"83","MyCUBE by MYSTAYS Asakusa-Kuramae","https://www.hostelworld.com/hosteldetails.php/MyCUBE-by-MYSTAYS-Asakusa-Kuramae/Tokyo/272217",9,"CA$38.32","9.2km from city centre  - Show on Map"
"84","328 Hostel & Lounge","https://www.hostelworld.com/hosteldetails.php/328-Hostel-and-Lounge/Tokyo/90420",9.6,"CA$39.27","16.5km from city centre  - Show on Map"
"85","Comfybed Yoyogi","https://www.hostelworld.com/hosteldetails.php/Comfybed-Yoyogi/Tokyo/293959",0,"CA$44.90","0.8km from city centre  - Show on Map"
"86","bnb+Tokyo Tamachi","https://www.hostelworld.com/hosteldetails.php/bnbTokyo-Tamachi/Tokyo/293757",10,"CA$23.95","7.3km from city centre  - Show on Map"
"87","bnb+Post Town Shinbashi","https://www.hostelworld.com/hosteldetails.php/bnbPost-Town-Shinbashi/Tokyo/293754",8.7,"CA$23.95","6.3km from city centre  - Show on Map"
"88","bnb+Asakusa Kuramae","https://www.hostelworld.com/hosteldetails.php/bnbAsakusa-Kuramae/Tokyo/293759",5.7,"CA$23.95","9.1km from city centre  - Show on Map"
"89","bnb+Kanda Terrace Ogawamachi","https://www.hostelworld.com/hosteldetails.php/bnbKanda-Terrace-Ogawamachi/Tokyo/293752",0,"CA$23.95","6.6km from city centre  - Show on Map"
