"","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17..","c.1..2..3..2..4..4..1..5..4..6..4..3..7..2..1..2..3..8..9..1..","c.1..1..1..1..2..2..1..2..2..1..2..1..2..1..1..1..1..1..1..1..","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17...1","c.9.4..8.7..8.3..8.5..7.7..8.2..8.7..8.1..8.3..9.6..8.1..8.4..","c.9.7..9.6..9.4..9.5..9.3..9.1..9.8..9..9.4..9.8..9.5..9.3..8.6..","c.9.7..9.1..8.7..9.6..8.8..8.8..9.2..8.6..8.6..9.5..9.1..8.9..","c.7.8..8.9..8.7..8.7..9.2..8.9..9.3..8..9..9..8.5..9.1..8.9..","c.9.7..9.2..9.6..9.5..9.2..9.2..9.7..9.2..9.1..9.5..9.5..9.2..","c.9.8..9.5..9.4..9.5..9.5..9.3..9.6..9.3..9..9.9..9..9.2..8.6..","c.9.5..9.3..9..9.2..8.9..8.9..9.4..8.6..8.7..9.6..8.8..9..8.7.."
"326",326,10,1,214,8.4,9.7,9.9,9.3,9.6,9.4,9
"327",327,8,1,215,8.9,9.3,8.9,9.4,9,9.1,9
"328",328,3,1,216,8.7,9.3,9.1,9.5,8.8,8.7,8.6
"329",329,8,1,217,8,9.5,8.5,9.4,9.4,9.7,9
"330",330,8,1,87,8.4,10,8.9,8,9.6,9.3,9.3
"331",331,6,1,78,9.5,9.8,9.7,8.6,9.4,10,9.8
"332",332,8,1,128,7.8,9.6,9.5,8.9,9.1,9.8,8.9
"333",333,22,2,218,8,8.7,7.8,8,8.5,8.7,8.2
"334",334,4,2,219,8.7,9.4,9.2,8.5,8.3,9.2,9
"335",335,6,1,95,9.7,9.7,9.4,9.1,9.4,10,10
"336",336,22,2,69,9,7,8,9,7,9,9
"337",337,5,2,47,8.6,9.6,8.7,8.3,8,8.9,8.7
"338",338,9,1,78,9.7,10,8.7,9.7,9.3,10,9.3
"339",339,17,3,177,7,7.5,7,8,8.5,8,8
"340",340,17,3,63,9,5,7,10,6,9,8
"341",341,5,2,142,8.7,9,8,9,9,9,8.5
"342",342,8,1,43,8.4,9.2,9.2,10,8.4,8.4,10
"343",343,1,1,220,10,10,10,8,9,10,9
"344",344,27,3,79,7.3,6.7,8,7.3,6.7,6,8
"345",345,25,1,47,10,10,10,10,10,10,10
"346",346,27,3,185,8,6,6,8,8,8,6
"347",347,3,1,221,8.7,9.3,8.7,8.7,9.3,9.3,8.7
"348",348,8,1,55,10,10,8,6,10,10,10
